Title,Author,Publication Date,Location,URL,Anger[0],Anger[1],Anger[2],Anger[3],Anger[4],Disgust[0],Disgust[1],Disgust[2],Disgust[3],Disgust[4],Fear[0],Fear[1],Fear[2],Fear[3],Fear[4],Joy[0],Joy[1],Joy[2],Joy[3],Joy[4],Sadness[0],Sadness[1],Sadness[2],Sadness[3],Sadness[4]
Little Fuzzy,H. Beam Piper,1962,United States,http://www.loyalbooks.com/download/text/Little-Fuzzy.txt,0.167719,0.136014,0.150658,0.494806,0.436011,0.133777,0.130036,0.525037,0.437428,0.152469,0.186155,0.139895,0.14299,0.545382,0.608323,0.552173,0.579855,0.534006,0.598436,0.530943,0.539748,0.229754,0.562637,0.46888,0.514679,
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892,United Kingdom,http://www.loyalbooks.com/download/text/The-Adventures-of-Sherlock-Holmes.txt,0.11513,0.154986,0.156614,0.162189,0.13743,0.474905,0.109608,0.15181,0.107429,0.117468,0.111859,0.165709,0.521713,0.159322,0.150527,0.623688,0.515665,0.490556,0.523797,0.587161,0.180025,0.562228,0.560262,0.527649,0.515764,
The Problems of Philosophy,Bertrand Russell,1912,United Kingdom,http://www.loyalbooks.com/download/text/The-Problems-of-Philosophy-by-Bertrand-Russell.txt,0.117455,0.138163,0.181904,0.125736,0.126184,0.069856,0.091041,0.109111,0.109163,0.118196,0.122602,0.142699,0.103464,0.107229,0.130066,0.578413,0.494563,0.48022,0.62467,0.609509,0.199755,0.516938,0.51012,0.46284,0.184638,
The Wonderful Adventures of Nils,Selma Lagerlöf,null,Sweden,http://www.loyalbooks.com/download/text/The-Wonderful-Adventures-of-Nils-by-Selma-Lagerloef.txt,0.126939,0.125386,0.170338,0.175209,0.155239,0.556207,0.495804,0.144496,0.150282,0.1509,0.095036,0.173016,0.176913,0.207656,0.133569,0.596628,0.589174,0.545695,0.532625,0.523181,0.475907,0.580487,0.560223,0.551281,0.518441,
Twenty Thousand Leagues Under the Sea,Jules Verne,1872,France,http://www.loyalbooks.com/download/text/Twenty-Thousand-Leagues-Under-the-Sea-by-Jules-Verne.txt,0.12576,0.114622,0.106914,0.098808,0.147791,0.114623,0.108003,0.09631,0.085864,0.122674,0.100083,0.103028,0.14883,0.148571,0.134418,0.521368,0.595983,0.59186,0.586553,0.558626,0.19274,0.566531,0.539315,0.552567,0.525326,
Isle Royale,null,null,null,http://www.loyalbooks.com/download/text/Copper-Princess-a-Story-of-Lake-Superior-Mines.txt,0.124179,0.202194,0.156926,0.129309,0.12802,0.093486,0.101344,0.11374,0.11081,0.124677,0.101396,0.181382,0.180353,0.152323,0.608323,0.556016,0.505421,0.557818,0.604408,0.575181,0.48371,0.580251,0.539374,0.558919,0.590298,
The Lost Stradivarius,J. Meade Falkner,1895,United Kingdom,http://www.loyalbooks.com/download/text/The-Lost-Stradivarius-by-J-Meade-Falkner.txt,0.092303,0.121653,0.11511,0.129314,0.119318,0.077267,0.131032,0.087196,0.088618,0.099615,0.107361,0.537598,0.488923,0.579038,0.587419,0.634083,0.585446,0.58169,0.562344,0.599828,0.568729,0.529761,0.539648,0.580499,0.595468,
The Lone Star Ranger,Zane Grey,1915,United States,http://www.loyalbooks.com/download/text/The-Lone-Star-Ranger-by-Zane-Grey.txt,0.520703,0.462627,0.173613,0.544873,0.552696,0.135658,0.132039,0.468029,0.144486,0.133576,0.539195,0.17399,0.546778,0.162892,0.513455,0.535156,0.563459,0.501124,0.565555,0.556696,0.596049,0.589148,0.513822,0.562071,0.5813,
The Emerald City of Oz,L. Frank Baum,1910,United States,http://www.loyalbooks.com/download/text/The-Emerald-City-of-Oz-by-L-Frank-Baum.txt,0.146114,0.152063,0.511182,0.141874,0.55889,0.112989,0.572645,0.09627,0.154696,0.137541,0.113123,0.53084,0.124481,0.149371,0.579705,0.633111,0.558627,0.623062,0.612547,0.579545,0.166122,0.531736,0.561413,0.513434,0.521666,
Nicholas Nickleby,Charles Dickens,1838,England,http://www.loyalbooks.com/download/text/The-Life-and-Adventures-of-Nicholas-Nickleby-By.txt,0.157807,0.145645,0.15158,0.155628,0.133015,0.130611,0.129358,0.09619,0.1292,0.142313,0.564315,0.098558,0.141908,0.158735,0.527591,0.571193,0.656666,0.556302,0.535498,0.557867,0.565388,0.522161,0.572249,0.472495,0.572006,
The Trail of the Hawk,Sinclair Lewis,1915,United States,http://www.loyalbooks.com/download/text/The-Trail-of-the-Hawk.txt,0.168848,0.145115,0.13085,0.141972,0.124376,0.117105,0.108294,0.485204,0.114875,0.116634,0.116484,0.139027,0.529552,0.482388,0.536662,0.569199,0.579911,0.57158,0.579698,0.567603,0.552123,0.537395,0.535833,0.544987,0.505801,
Tom Swift and His Aerial Warship,Victor Appleton,1915,United States,http://www.loyalbooks.com/download/text/Tom-Swift-and-His-Aerial-Warship-or-the-Naval-Terror-of-the-Seas.txt,0.165661,0.142655,0.139962,0.118947,0.499619,0.097351,0.105239,0.094241,0.090561,0.118248,0.159043,0.510912,0.553306,0.159088,0.160813,0.591563,0.565744,0.561369,0.566153,0.582743,0.569875,0.520633,0.260476,0.598689,0.256524,
Personal Memoirs of Ulysses S. Grant,Ulysses S. Grant,1885,U.S.,http://www.loyalbooks.com/download/text/Personal-Memoirs-of-U-S-Grant.txt,0.128613,0.163263,0.161421,0.130482,0.16311,0.084794,0.114295,0.0804,0.116131,0.093703,0.111594,0.160847,0.174139,0.151886,0.488261,0.53497,0.16383,0.54757,0.572146,0.560318,0.514099,0.49936,0.542287,0.521739,0.595532,
New Atlantis,Francis Bacon,1624,United Kingdom,http://www.loyalbooks.com/download/text/New-Atlantis-by-Francis-Bacon.txt,0.10199,0.090171,0.123354,0.11229,0.087521,0.532651,0.069761,0.502496,0.078988,0.147812,0.120241,0.09962,0.119493,0.112355,0.075476,0.610936,0.675835,0.619209,0.642569,0.670657,0.506448,0.526973,0.479716,0.180914,0.174632,
The Scarlet Plague,Jack London,1912,United States,http://www.loyalbooks.com/download/text/The-Scarlet-Plague-by-Jack-London.txt,0.153185,0.129302,0.163078,0.573582,0.14126,0.502391,0.116732,0.112399,0.144202,0.122253,0.50511,0.169677,0.625613,0.200754,0.574012,0.493268,0.551607,0.474919,0.549655,0.587021,0.530201,0.591309,0.55148,0.60618,0.57539,
Ann Veronica,H. G. Wells,1909,United Kingdom,http://www.loyalbooks.com/download/text/Ann-Veronica-by-H-G-Wells.txt,0.134793,0.143111,0.133542,0.114979,0.121725,0.098346,0.102731,0.099664,0.085557,0.101739,0.138403,0.582687,0.150422,0.141222,0.136102,0.599256,0.55306,0.622444,0.57114,0.567868,0.60708,0.549128,0.543727,0.55481,0.553976,
Jungle Tales of Tarzan,Edgar Rice Burroughs,1916,United States,http://www.loyalbooks.com/download/text/Jungle-Tales-of-Tarzan-by-Edgar-Rice-Burroughs.txt,0.109976,0.550341,0.139833,0.583538,0.100684,0.485383,0.100229,0.14906,0.439642,0.106673,0.650043,0.520392,0.613142,0.172547,0.626383,0.626034,0.620565,0.5034,0.53753,0.578614,0.525832,0.5309,0.569868,0.533124,0.542436,
Star Born,Andre Norton,1957,United States,http://www.loyalbooks.com/download/text/Star-Born-by-Andre-Norton.txt,0.106985,0.152337,0.125518,0.142714,0.140283,0.119001,0.1061,0.121967,0.12599,0.13312,0.616772,0.145898,0.458069,0.19102,0.143452,0.561733,0.555482,0.550891,0.535605,0.582643,0.514767,0.45874,0.558969,0.529388,0.5416,
The Sea Hawk,Rafael Sabatini,1915,United Kingdom,http://www.loyalbooks.com/download/text/The-Sea-Hawk-by-Rafael-Sabatini.txt,0.15328,0.096459,0.483027,0.523466,0.185787,0.137249,0.131585,0.152923,0.122971,0.140786,0.159734,0.164972,0.134335,0.155068,0.558729,0.571866,0.547277,0.525159,0.512925,0.553582,0.527194,0.547082,0.57264,0.615556,0.516441,
The Pursuit of the House-Boat,John Kendrick Bangs,1897,United States,http://www.loyalbooks.com/download/text/Pursuit-of-the-House-Boat-by-Bangs.txt,0.147099,0.155054,0.173243,0.121695,0.158002,0.114504,0.149254,0.102924,0.113334,0.106497,0.127371,0.131207,0.539369,0.555335,0.512313,0.598145,0.551784,0.589461,0.54884,0.575477,0.583174,0.546165,0.574895,0.528374,0.528194,
Through the Looking-Glass,Lewis Carroll,1871,United Kingdom,http://www.loyalbooks.com/download/text/Through-the-Looking-Glass-by-Lewis-Carroll.txt,0.149633,0.152652,0.163474,0.147892,0.131676,0.122274,0.08574,0.086421,0.121918,0.101598,0.180092,0.569873,0.155571,0.157923,0.129819,0.565938,0.564646,0.605177,0.546769,0.582439,0.24132,0.527285,0.567498,0.523945,0.550688,
Ivanhoe,Sir Walter Scott,1820,United Kingdom,http://www.loyalbooks.com/download/text/Ivanhoe-by-Sir-Walter-Scott.txt,0.102233,0.137286,0.191741,0.142123,0.103171,0.072657,0.133598,0.161728,0.16074,0.097231,0.437485,0.1715,0.469831,0.139705,0.121259,0.595495,0.587163,0.476246,0.572531,0.601491,0.518927,0.522019,0.50786,0.561297,0.532254,
Moon pool,null,null,null,http://www.loyalbooks.com/download/text/Moon-Pool.txt,0.101152,0.125429,0.129624,0.137183,0.120347,0.093463,0.150912,0.458699,0.113846,0.142319,0.126361,0.144755,0.583831,0.5047,0.153111,0.595466,0.577551,0.579127,0.608329,0.601305,0.541008,0.493414,0.584486,0.519953,0.254886,
The Trail of the Lonesome Pine,John Fox Jr.,1908,United States,http://www.loyalbooks.com/download/text/The-Trail-of-the-Lonesome-Pine-by-John-Fox-Jnr.txt,0.138882,0.099016,0.128097,0.114942,0.509612,0.131367,0.098942,0.107371,0.141896,0.149861,0.537868,0.16507,0.164921,0.177204,0.217749,0.518519,0.582576,0.570854,0.569371,0.154046,0.572246,0.552127,0.565365,0.540282,0.593432,
The Prisoner of Zenda,Anthony Hope,1894,United Kingdom,http://www.loyalbooks.com/download/text/The-Prisoner-of-Zenda-by-Anthony-Hope.txt,0.140623,0.544925,0.136235,0.159871,0.127916,0.12352,0.140426,0.117102,0.120773,0.467955,0.107092,0.163137,0.155113,0.166274,0.538986,0.59941,0.566059,0.571224,0.508662,0.534776,0.489142,0.24395,0.548356,0.583505,0.550056,
Les Misérables,Victor Hugo,1862,France,http://www.loyalbooks.com/download/text/Les-Miserables.txt,0.102688,0.548595,0.139926,0.138722,0.479103,0.098924,0.549987,0.105299,0.079029,0.135308,0.132243,0.13441,0.113688,0.119194,0.167748,0.570416,0.468558,0.575781,0.566989,0.560689,0.536907,0.554294,0.551233,0.544747,0.491338,
The Voyages of Doctor Dolittle,Hugh Lofting,1922,United States of America,http://www.loyalbooks.com/download/text/The-Voyages-of-Doctor-Dolittle-by-Hugh-Lofting.txt,0.484157,0.175206,0.580139,0.119645,0.112124,0.093526,0.505858,0.125863,0.112085,0.12192,0.16735,0.122391,0.164098,0.157067,0.176142,0.598331,0.551448,0.53004,0.584875,0.59082,0.49304,0.549614,0.555787,0.563912,0.539912,
The Elusive Pimpernel,Baroness Orczy,1908,United Kingdom,http://www.loyalbooks.com/download/text/The-Elusive-Pimpernel-by-Baroness-Emmuska-Orczy.txt,0.121469,0.134329,0.124813,0.45531,0.162279,0.128594,0.111593,0.100041,0.103668,0.146738,0.127962,0.142659,0.143238,0.149994,0.145353,0.564421,0.598468,0.617943,0.558864,0.58506,0.520409,0.497962,0.582981,0.520966,0.531082,
The Children of the New Forest,Frederick Marryat,1847,United Kingdom,http://www.loyalbooks.com/download/text/The-Children-of-the-New-Forest-by-Frederick-Marryat.txt,0.165031,0.142131,0.168389,0.137476,0.147003,0.448231,0.111718,0.139068,0.109922,0.105197,0.147305,0.568727,0.178295,0.113884,0.132566,0.487773,0.566628,0.556433,0.584001,0.559668,0.525543,0.578892,0.49265,0.233098,0.524267,
Space Tug,Murray Leinster,1953,United States,http://www.loyalbooks.com/download/text/Space-Tug-by-Murray-Leinster.txt,0.124654,0.178743,0.173717,0.514033,0.113643,0.125173,0.114162,0.118644,0.119975,0.10583,0.499902,0.143786,0.153502,0.147073,0.096209,0.507421,0.549607,0.519499,0.549053,0.567017,0.191431,0.211878,0.558592,0.51608,0.185884,
Shakespeare's Sonnets,William Shakespeare,1609,England,http://www.loyalbooks.com/download/text/Sonnets-by-William-Shakespeare.txt,0.075904,0.099332,0.108513,0.129783,0.493136,0.080923,0.085374,0.077527,0.090676,0.139984,0.091876,0.085397,0.108893,0.134172,0.106458,0.672058,0.612416,0.63355,0.636525,0.638824,0.589334,0.579814,0.562198,0.546571,0.503128,
Basil,Wilkie Collins,1852,UK,http://www.loyalbooks.com/download/text/Basil-Wilkie-Collins.txt,0.100255,0.119466,0.145658,0.500209,0.130142,0.081678,0.117912,0.099491,0.140671,0.118357,0.086398,0.11785,0.569782,0.44797,0.5338,0.687589,0.583766,0.530451,0.52691,0.537254,0.218776,0.520314,0.495448,0.551732,0.573355,
Five Weeks in a Balloon,Jules Verne,1869,France,http://www.loyalbooks.com/download/text/Five-Weeks-in-a-Balloon-by-Jules-Verne.txt,0.139026,0.130651,0.175732,0.484521,0.137011,0.096808,0.099466,0.120799,0.107418,0.114535,0.108596,0.512354,0.445435,0.151781,0.184948,0.571054,0.556184,0.561673,0.495047,0.576026,0.19868,0.500576,0.47451,0.620434,0.466726,
Zuleika Dobson,Max Beerbohm,1911,United Kingdom,http://www.loyalbooks.com/download/text/Zuleika-Dobson-by-Max-Beerbohm.txt,0.137653,0.082449,0.136157,0.167981,0.133744,0.116346,0.067267,0.097294,0.451364,0.096284,0.127935,0.148356,0.140046,0.148206,0.108443,0.580482,0.592525,0.589729,0.570627,0.618038,0.555958,0.584192,0.559702,0.522822,0.584638,
Looking Backward: 2000–1887,Edward Bellamy,1888,United States,http://www.loyalbooks.com/download/text/Looking-Backward-2000-1887.txt,0.115859,0.150965,0.134021,0.514844,0.112074,0.077347,0.099116,0.089263,0.189926,0.07703,0.111931,0.11009,0.125207,0.133516,0.142083,0.642479,0.562417,0.616261,0.15021,0.634677,0.229748,0.502673,0.524455,0.538501,0.534619,
The Island of Doctor Moreau,H. G. Wells,1896,United Kingdom,http://www.loyalbooks.com/download/text/The-Island-of-Dr-Moreau-by-Hg-Wells.txt,0.477926,0.461374,0.142006,0.547583,0.113193,0.113959,0.145318,0.43286,0.509955,0.129561,0.15025,0.587967,0.162346,0.607267,0.580713,0.585407,0.531905,0.492602,0.479998,0.57937,0.619027,0.211499,0.525918,0.526427,0.533062,
Andrew Lang's Fairy Books,Andrew Lang,1889,null,http://www.loyalbooks.com/download/text/The-Lilac-Fairy-Book-Edited-by-Andrew-Lang.txt,0.44473,0.126959,0.13334,0.151782,0.429573,0.102433,0.081059,0.122846,0.507681,0.124214,0.145756,0.137832,0.488039,0.462311,0.141786,0.607711,0.560889,0.561464,0.524712,0.556513,0.542591,0.573514,0.566232,0.610491,0.564599,
The Woman in White,Wilkie Collins,1859,United Kingdom,http://www.loyalbooks.com/download/text/The-Woman-in-White-by-Wilkie-Collins.txt,0.153717,0.170029,0.115671,0.132435,0.133358,0.466116,0.135505,0.1363,0.098744,0.460626,0.153057,0.142935,0.578813,0.152992,0.164979,0.521495,0.581699,0.548652,0.579524,0.569335,0.578726,0.547346,0.50518,0.520778,0.499959,
Notes from Underground,Fyodor Dostoyevsky,1918,Russia,http://www.loyalbooks.com/download/text/Notes-from-the-Underground-by-Fyodor-Dostoyevsky.txt,0.14878,0.488353,0.1665,0.545267,0.142484,0.103898,0.484139,0.602681,0.584753,0.108736,0.138646,0.150666,0.474808,0.575843,0.127097,0.498589,0.534635,0.609705,0.561505,0.525124,0.214415,0.510162,0.584669,0.608216,0.570814,
Jo's Boys,Louisa May Alcott,1886,United States,http://www.loyalbooks.com/download/text/Jos-Boys-by-Louisa-May-Alcott.txt,0.076499,0.121804,0.123101,0.137701,0.097915,0.07546,0.086854,0.087297,0.098334,0.087401,0.090394,0.104932,0.128055,0.121226,0.086914,0.699625,0.607181,0.634605,0.631918,0.653311,0.514859,0.519101,0.512539,0.506954,0.476396,
Crome Yellow,Aldous Huxley,1921,United Kingdom,http://www.loyalbooks.com/download/text/Crome-Yellow-by-Aldous-Huxley.txt,0.141457,0.120015,0.109461,0.136373,0.104975,0.107032,0.132151,0.106201,0.129211,0.103606,0.121564,0.173751,0.111112,0.138461,0.14111,0.613727,0.598702,0.638507,0.597906,0.5759,0.566415,0.533953,0.540853,0.499652,0.522267,
My Man Jeeves,P. G. Wodehouse,1919,United Kingdom,http://www.loyalbooks.com/download/text/My-Man-Jeeves-by-P-G-Wodehouse.txt,0.146044,0.526081,0.515879,0.479137,0.158799,0.127978,0.136028,0.117868,0.09764,0.103376,0.108584,0.161457,0.139731,0.17998,0.149853,0.591712,0.584529,0.56499,0.514012,0.595038,0.523886,0.569883,0.589749,0.543336,0.509322,
The Way We Live Now,Anthony Trollope,1875,United Kingdom,http://www.loyalbooks.com/download/text/The-Way-We-Live-Now-by-Anthony-Trollope.txt,0.144368,0.143772,0.154159,0.175715,0.544662,0.121978,0.149398,0.11857,0.12401,0.484617,0.132834,0.150007,0.132511,0.151834,0.164099,0.602446,0.56027,0.538348,0.604988,0.494994,0.528492,0.550318,0.190108,0.204428,0.538992,
The Napoleon of Notting Hill,G. K. Chesterton,1904,United Kingdom,http://www.loyalbooks.com/download/text/Napoleon-of-Notting-Hill-by-Chesterton.txt,0.43398,0.504659,0.517572,0.134046,0.155348,0.120769,0.142591,0.128997,0.123822,0.127233,0.114883,0.128186,0.094068,0.170609,0.157756,0.572641,0.514412,0.599854,0.598314,0.58875,0.168072,0.56265,0.503956,0.553827,0.561153,
A Shropshire Lad,Alfred Edward Housman,1896,England,http://www.loyalbooks.com/download/text/A-Shropshire-Lad-by-Ae-Housman.txt,0.143791,0.121294,0.169323,0.116682,0.137221,0.119229,0.085587,0.159673,0.092247,0.147735,0.12185,0.157938,0.534235,0.561193,0.167079,0.628171,0.608107,0.554057,0.615311,0.561324,0.526583,0.58256,0.567786,0.584837,0.611929,
God the Invisible King,H. G. Wells,1917,United Kingdom,http://www.loyalbooks.com/download/text/God-the-Invisible-King-by-H-G-Wells.txt,0.142235,0.119555,0.114967,0.141034,0.128566,0.101883,0.105507,0.090369,0.118166,0.091198,0.119254,0.121417,0.109887,0.148198,0.086186,0.640297,0.528839,0.608292,0.599863,0.586727,0.483059,0.541655,0.528205,0.582342,0.533926,
The Man from Snowy River and Other Verses,Banjo Paterson,1895,Australia,http://www.loyalbooks.com/download/text/The-Man-from-Snowy-River-and-Other-Verses.txt,0.120861,0.184128,0.172455,0.095041,0.087797,0.13557,0.148405,0.155546,0.13156,0.05663,0.141767,0.141716,0.547214,0.145389,0.085097,0.533004,0.579677,0.47235,0.57038,0.613123,0.51642,0.550908,0.600458,0.494628,0.54932,
In Chancery,John Galsworthy,null,Great Britain,http://www.loyalbooks.com/download/text/In-Chancery-by-John-Galsworthy.txt,0.0968,0.528436,0.147015,0.093412,0.138819,0.124928,0.543595,0.587023,0.111808,0.111614,0.14462,0.176825,0.582891,0.125343,0.455622,0.61492,0.560082,0.582777,0.585782,0.536011,0.596117,0.557903,0.540121,0.536858,0.546839,
Ghost Stories of an Antiquary,M. R. James,1904,UK,http://www.loyalbooks.com/download/text/Ghost-Stories-of-An-Antiquary-by-M-R-James.txt,0.153293,0.172912,0.474301,0.137983,0.140785,0.129357,0.128429,0.096929,0.098216,0.100405,0.570751,0.451967,0.487696,0.195219,0.17324,0.560743,0.202812,0.55628,0.505987,0.585367,0.206147,0.528075,0.530683,0.579623,0.498092,
The Songs of a Sentimental Bloke,C. J. Dennis,1915,Australia,http://www.loyalbooks.com/download/text/Songs-of-a-Sentimental-Bloke.txt,0.098918,0.111031,0.112512,0.128209,0.172615,0.113471,0.096037,0.116921,0.11989,0.4792,0.088917,0.105014,0.579693,0.126248,0.102883,0.589083,0.60858,0.581913,0.528532,0.600851,0.186721,0.510077,0.498483,0.587873,0.625461,
Ragged Dick,Horatio Alger Jr.,1868,United States,http://www.loyalbooks.com/download/text/Ragged-Dick-by-Horatio-Alger-Jr.txt,0.476523,0.485855,0.469417,0.509183,0.484081,0.140006,0.461855,0.145618,0.144154,0.456432,0.111987,0.126589,0.111513,0.11105,0.117043,0.574745,0.529052,0.598845,0.57214,0.571602,0.504719,0.227654,0.552497,0.18776,0.519041,
Villette,Charlotte Brontë,1853,United Kingdom,http://www.loyalbooks.com/download/text/Villette-by-Charlotte-Bronte.txt,0.120312,0.161205,0.102362,0.099898,0.109526,0.110564,0.147217,0.112771,0.093066,0.113754,0.104343,0.181243,0.150405,0.540274,0.142144,0.554928,0.531407,0.582728,0.573601,0.621392,0.515078,0.593574,0.539752,0.560763,0.643293,
Martin Chuzzlewit,Charles Dickens,1842,England,http://www.loyalbooks.com/download/text/The-Life-and-Adventures-of-Martin-Chuzzlewit.txt,0.152813,0.488475,0.120217,0.451103,0.146315,0.53949,0.112374,0.111851,0.135369,0.127622,0.123845,0.117606,0.122314,0.134199,0.094699,0.582257,0.603102,0.603572,0.552981,0.593523,0.561977,0.569312,0.573432,0.231423,0.546804,
Beasts and Super-Beasts,Saki,1914,null,http://www.loyalbooks.com/download/text/Beasts-and-Super-Beasts-by-Saki.txt,0.140988,0.164014,0.17344,0.17348,0.134614,0.098352,0.128038,0.114189,0.138698,0.104283,0.15904,0.193018,0.15989,0.112793,0.108867,0.549774,0.495584,0.584258,0.528838,0.60172,0.484925,0.571305,0.518328,0.54034,0.541265,
The Wrong Box,Robert Louis Stevenson Lloyd Osbourne,1889,Scotland,http://www.loyalbooks.com/download/text/The-Wrong-Box-by-Robert-Louis-Stevenson-and-Lloyd-Osbourne.txt,0.135784,0.444582,0.151456,0.147325,0.128173,0.101525,0.127127,0.469504,0.178633,0.115649,0.106508,0.464803,0.647194,0.512331,0.183183,0.549495,0.552179,0.560649,0.50188,0.548371,0.57165,0.567182,0.534204,0.611718,0.612768,
Under the Greenwood Tree,Thomas Hardy,1872,United Kingdom,http://www.loyalbooks.com/download/text/Under-the-Greenwood-Tree-by-Thomas-Hardy.txt,0.433872,0.439699,0.167842,0.463958,0.133295,0.110396,0.113042,0.129334,0.118826,0.126382,0.122553,0.139146,0.129381,0.135075,0.146341,0.589705,0.596066,0.569267,0.560421,0.574813,0.51759,0.483521,0.556586,0.539157,0.587974,
The Man That Corrupted Hadleyburg,Mark Twain,1900,United States,http://www.loyalbooks.com/download/text/The-Man-That-Corrupted-Hadleyburg-and-Other-Stories-by-Mark-Twain.txt,0.141604,0.10197,0.140418,0.104292,0.488906,0.49257,0.101957,0.108222,0.140781,0.152518,0.10936,0.11046,0.426932,0.138616,0.462784,0.612015,0.641178,0.550302,0.57366,0.593132,0.496635,0.524769,0.568884,0.556547,0.520744,
White Fang,Jack London,1906,United States,http://www.loyalbooks.com/download/text/White-Fang-by-Jack-London.txt,0.149846,0.141689,0.12253,0.482469,0.14761,0.122522,0.139531,0.14772,0.448638,0.462272,0.149885,0.556553,0.522454,0.13891,0.502896,0.580506,0.546094,0.60756,0.544935,0.223612,0.55506,0.52192,0.54764,0.164155,0.526071,
Tom Swift In The Land of Wonders,Victor Appleton,1917,United States,http://www.loyalbooks.com/download/text/Tom-Swift-in-the-Land-of-Wonders.txt,0.130489,0.138257,0.094109,0.125543,0.167908,0.101397,0.089606,0.134072,0.078079,0.094467,0.108177,0.142222,0.533853,0.558237,0.132109,0.562364,0.574531,0.569089,0.561467,0.550537,0.5808,0.492009,0.556539,0.58953,0.554949,
